episode,timestep,reward
1,224,5.0472
4,672,9.1366
5,896,6.0605
8,1344,9.4624
9,1568,11.1122
11,1792,7.1418
12,2016,13.17
15,2464,8.7763
16,2688,16.2459
19,3136,14.1896
22,3584,8.1692
23,3808,15.1983
26,4256,16.3104
27,4480,14.3797
29,4704,15.7238
30,4928,17.1919
33,5376,19.2913
34,5600,17.1914
37,6048,23.0331
40,6496,21.6785
41,6720,25.3826
44,7168,26.3483
45,7392,26.433
47,7616,31.3503
48,7840,32.4102
51,8288,32.0926
52,8512,34.3594
55,8960,29.7081
56,9184,27.3205
58,9408,33.4372
59,9632,31.3317
62,10080,30.3887
63,10304,38.5631
66,10752,31.7534
69,11200,33.0759
70,11424,33.4061
73,11872,36.087
74,12096,42.4589
76,12320,40.0097
77,12544,42.4703
80,12992,39.1
81,13216,38.4612
84,13664,47.5262
87,14112,43.7949
88,14336,40.4312
91,14784,42.7862
92,15008,47.5319
94,15232,43.0042
95,15456,45.4845
98,15904,44.8328
99,16128,45.4964
102,16576,46.1685
105,17024,45.4908
106,17248,46.4847
109,17696,45.5057
110,17920,41.4514
113,18368,45.4746
116,18816,46.8092
117,19040,48.518
120,19488,42.7927
121,19712,52.5444
123,19936,46.9984
124,20160,46.4906
127,20608,47.1673
128,20832,49.5223
131,21280,46.1533
134,21728,45.1323
135,21952,45.4501
138,22400,44.1265
139,22624,45.4804
141,22848,40.9471
142,23072,44.4698
145,23520,40.081
146,23744,41.4554
149,24192,41.4295
152,24640,35.3664
153,24864,23.3591
156,25312,38.1054
157,25536,34.3686
159,25760,35.3695
160,25984,38.4096
163,26432,33.0589
164,26656,26.2741
167,27104,25.9956
168,27328,37.4107
170,27552,22.2608
171,27776,27.304
174,28224,21.2105
175,28448,22.2203
178,28896,20.6098
181,29344,13.2485
182,29568,18.2465
185,30016,10.4379
186,30240,15.1542
188,30464,20.2343
189,30688,19.1987
192,31136,22.2512
193,31360,19.2553
196,31808,25.6064
199,32256,27.2995
200,32480,27.312
203,32928,35.0541
204,33152,36.4248
206,33376,41.4349
207,33600,37.392
210,34048,40.1084
211,34272,36.4165
214,34720,38.7655
217,35168,41.1438
218,35392,38.4024
221,35840,40.8103
222,36064,45.4834
225,36512,43.4806
228,36960,44.1399
229,37184,45.464
232,37632,45.8484
233,37856,43.4549
235,38080,49.0644
236,38304,48.5054
239,38752,48.5289
240,38976,46.5399
243,39424,47.5445
246,39872,47.8435
247,40096,51.5743
250,40544,50.2176
251,40768,50.5866
253,40992,48.0435
254,41216,48.5466
257,41664,49.8766
258,41888,45.5349
261,42336,51.224
264,42784,50.5391
265,43008,53.6019
268,43456,51.9004
269,43680,50.5175
271,43904,51.5409
272,44128,46.4755
275,44576,53.2271
276,44800,50.5496
279,45248,55.2597
280,45472,55.6052
282,45696,51.0255
283,45920,54.5735
286,46368,52.5782
287,46592,48.5357
290,47040,51.8989
293,47488,53.2354
294,47712,55.643
297,48160,53.9074
298,48384,53.5849
300,48608,52.0684
301,48832,52.5732
304,49280,55.258
305,49504,55.6211
308,49952,54.2605
311,50400,52.904
312,50624,53.5821
315,51072,53.5741
316,51296,54.5791
318,51520,53.6086
319,51744,55.5927
322,52192,52.5735
323,52416,54.5931
326,52864,54.9185
329,53312,54.2526
330,53536,47.5162
333,53984,54.9167
334,54208,53.5767
337,54656,53.2299
340,55104,54.9122
341,55328,51.5773
344,55776,55.5888
345,56000,52.5719
347,56224,49.5413
348,56448,49.5145
